005327	002422
009859	002838
014950	009131
017127	013739
017439	015953
022218	018962
058242	022530
058866	058762
060844	059869
066342	061847
068348	062122
068452	063541
068972	063853
071849	066862
072852	072540
102319	072748
106851	103946
112841	104741
113428	115018
119654	115850
126439	122323
136649	123742
137860	128237
161016	130007
165028	130839
166239	135126
168349	150219
168661	153852
173648	161536
177452	167762
205329	168765
211423	176241
212114	201837
216230	202840
216334	204534
216958	207647
217025	207855
223743	215747
250428	216646
250532	216750
259247	254336
259559	266656
266760	266864
267867	268142
268246	269665
269249	271019
300835	271123
301630	272750
304847	275655
310213	277245
315332	301734
316959	303116
318133	304743
322013	304951
352019	308859
355340	316231
355548	318861
356551	321738
357346	322637
357970	322949
362541	355860
362645	355964
365862	356447
366033	359976
368975	362749
372231	368767
401215	368871
402842	369042
451433	369250
462542	371956
464444	403429
469147	409967
002318	005535
005431	007853
013115	014222
016020	019029
018650	021527
021735	021839
053123	022842
054022	051845
054334	057967
058034	059973
066238	061535
068660	062018
102215	066446
102943	068036
106747	070014
109132	070638
112009	101732
112113	106435
117128	110003
117232	110211
121736	111838
122115	111942
122219	112321
125748	114951
126335	115642
130111	115746
130735	125644
150427	126127
150635	129344
150739	129552
153956	134851
154023	135334
157864	157136
168141	157240
172957	172125
173336	175966
175862	200418
200210	201733
200314	204430
208754	204638
214848	205641
215019	211943
216126	220734
217961	223639
256446	251535
260742	254232
265237	264130
269041	264234
303636	267139
307232	273545
307336	300627
315020	306125
315436	307648
315540	307752
319448	307856
319552	309446
319656	310005
319864	314121
321634	314225
350637	319344
352955	320215
353334	320319
353438	320423
355028	320527
356655	320631
361746	320735
363336	320943
366241	323120
366553	323328
400836	325750
403533	325854
412220	350845
417131	354961
450638	356343
453335	358869
454650	363440
458246	366137
460328	366345
461227	366657
461331	368351
461435	370017
467141	371748
004636	004948
019445	019341
053643	065963
053955	073543
065859	114431
073647	117752
106019	130943
110419	134955
116229	135022
117648	137756
119238	137964
129968	138343
131634	138551
139242	139970
156341	160117
159974	163022
163126	163230
169456	169352
200106	178559
217753	179666
269457	221321
300211	221841
308131	221945
312947	223951
313014	225021
324539	225229
325230	225333
325334	225437
350533	225541
360431	225645
365030	226648
365654	226752
403741	226960
403845	227027
419449	227859
452020	268766
452124	271435
465239	271643
002630	002942
013635	009963
014638	013011
021943	016228
024744	051013
066654	066758
071953	103218
102423	121424
103114	136233
113012	137340
114639	138863
115122	154231
119862	158347
122427	162435
129864	165132
137444	167034
139554	171538
151222	179562
156237	211319
161744	219239
162747	224226
171434	224954
178143	226128
179042	226232
200834	255755
200938	269353
207751	269561
208026	277349
210316	302841
215851	305122
224746	314537
225125	325022
225749	400940
226024	411321
227547	418862
250220	454026
255651	459665
259663	466138
275551	466970
277141	469979
002526	002734
005639	005223
009547	008440
010002	020212
016124	054438
021423	057863
021631	058138
022322	063645
051221	065131
053019	067969
054126	071537
054230	074130
064960	104637
066550	109964
067241	112945
068764	115226
070222	119030
070742	123846
072956	125540
104221	126023
109236	128133
112217	129448
121528	152121
123118	161640
126751	162851
129656	166447
130631	167554
150531	168453
150843	171330
153644	175342
153748	177140
154335	179146
159350	201525
168245	202112
170535	223847
173544	250324
176345	252330
201629	255131
210212	264650
214952	265133
216854	267347
217129	268454
251951	307440
260950	350429
263439	352851
264338	356967
264546	357658
301526	362229
304639	366449
306333	369146
307544	369874
308963	370121
309030	371436
309238	413119
312739	413847
317650	419137
320839	421011
322741	462438
351848	463441
355132	467661
356031	469043
013843	020732
068556	053227
069975	101212
101628	105120
120941	106955
135958	120837
151430	162227
151534	165236
204222	178455
206332	224122
208962	224850
254960	256342
255027	265549
256238	267971
267659	277037
268038	277557
277661	277869
308339	278040
317234	301006
354441	303324
354545	317130
357242	318965
358973	323536
362333	354753
363232	357450
364547	357554
371540	362021
